qid	year	label	no	content_verbatim	content_fixed	choice_a	choice_b	choice_c	choice_d	answer	chapter	attachment_link	mixed_choices
KgumvhSR	2020	3.12	51	Un train classique est constitué de :		un train principal et une roulette de queue	un train principal et une roulette de nez	un train monotrace et deux balancines	un diabolo avant et deux roulettes arrière	0			
oGsbBB9l	2020	3.13	52	Pour un avion en bois et toile moderne :		seules les ailes sont en bois recouvert de toile	les longerons d'aile sont en bois et les nervures en alliage d'aluminium	toute la structure est en bois recouvert de toile	le fuselage est en bois entoilé et l'aile en alliage métallique	2			
LQoicWjg	2020	3.14	53	Pour effectuer une rotation autour de l’axe de roulis, le pilote doit :		modifier la profondeur à l’aide du compensateur	déplacer le manche en avant ou en arrière	déplacer le manche à gauche ou à droite	actionner le palonnier	2	1.1.		True
BwbGzchD	2020	3.15	54	Cet instrument, aux erreurs près, mesure :		a vitesse de l’aéronef par rapport à l’air	la vitesse de l’aéronef par rapport au sol	la vitesse verticale d’un aéronef	la vitesse absolue d’un aéronef	0	1.2.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FTOHzko896BwkG0hM2Vy1?alt=media&token=2cedd2b3-f3ff-4fa4-8b49-49dfaf370ffd	True
kSmd1iSP	2020	3.16	55	L’anémomètre est un instrument qui mesure :		la pression totale uniquement grâce à la sonde Pitot	la pression statique uniquement grâce au capteur de pression présent sur le fuselage	la pression dynamique à partir des pressions totale et statique	la vitesse verticale de l’avion	2	1.2.		True
MXcZCkbf	2020	3.17	56	Laquelle de ces ailes confère le plus de stabilité à l’avion :		aucune	l’aile n°1	l’aile n°2	l’aile n°3	3	1.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FHYhasycc29xnmI8d1jN5?alt=media&token=cc4f4b32-69c1-42b9-b4f2-1bb12cb231d5	True
SGLV6EAC	2020	3.18	57	Dans un turbopropulseur l'air suit le trajet suivant :		échappement, turbine, chambre de combustion, compresseur	compresseur, chambre de combustion, turbine, échappement	turbine, compresseur, chambre de combustion, échappement	compresseur, échappement, chambre de combustion, turbine	1	1.3.		True
G7CMpzLl	2020	3.19	58	Un autogire :		est un petit hélicoptère	est un drone	peut décoller verticalement et effectuer un vol stationnaire	est équipé d’une hélice entraînée par le moteur et d’un rotor entraîné par le vent relatif	3			
gZXsAkLQ	2020	3.20	59	Le rotor anticouple de l’hélicoptère permet de contrôler :		a rotation autour de l’axe de lacet	a rotation autour de l’axe de tangage	la rotation autour de l’axe de roulis	la vitesse ascensionnelle	0			
PCtkRGnJ	2020	4.1	60	A votre arrivée à NICE-Côte d’Azur, le responsable « communication » de l’aéroport vous indique que cette plateforme dispose de deux pistes désignées 22L et 22R, vous comprenez que la piste 22L est :		la piste utilisée pour les avions lents, la 22R celle utilisée pour les avions rapides	réservée aux avions légers et la 22R est renforcée pour les avions lourds	est à la droite de la piste 22R	est à gauche de la piste 22R	3	4.1.		True
bAIB89TQ	2020	4.2	61	Une piste dont l’orientation magnétique est 043 sera numérotée :		43	45	04	05	2	4.1.		True
d8driRku	2020	4.3	62	Le contrôleur aérien en charge de la visite dans la tour vous présente la carte VAC de l’aéroport (doc. N°1), cette carte correspond aux procédures de décollage et d’atterrissage :	Le contrôleur aérien en charge de la visite dans la tour vous présente la carte VAC de l’aéroport. Cette carte correspond aux procédures de décollage et d’atterrissage :	à vue	aux instruments	pour les avions et les planeurs	uniquement pour les hélicoptères	0	4.3.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FKPhpVgw7HIMfKEeio6id?alt=media&token=154bd2c0-4a06-4f20-a934-60d37746cc7c	True
DTnoOjhl	2020	4.4	63	Souhaitant vous questionner sur vos connaissances, le contrôleur aérien vous demande à quoi correspond l’indication VAR 2°E figurant dans le coin en haut à droite de la carte VAC (doc. N°1), vous répondez :	Souhaitant vous questionner sur vos connaissances, le contrôleur aérien vous demande à quoi correspond l’indication « VAR 2°E » figurant dans le coin en haut à droite de la carte VAC. Vous répondez :	la déviation magnétique	la déclinaison magnétique	la diffraction magnétique	la réfraction magnétique	1	4.3.		True
Y2jLayKm	2020	4.5	64	Sur la carte VAC, vous pouvez identifier les coordonnées en latitude et longitude de l’aéroport, la latitude de 43° 39’ et 55’’ N est relevée par rapport :		au méridien de Greenwich	à l’équateur	au pôle Nord	au tropique du Cancer	1	4.3.		True
XpZFkLt2	2020	4.6	65	Le code OACI de l’aéroport de Nice-Côte d’Azur est indiqué sur la carte VAC (doc. N°1), il s’agit de LFMN. L’OACI est un organisme chargé d’établir le cadre réglementaire de la sécurité de l’aviation civile :	Le code OACI de l’aéroport de Nice-Côte d’Azur est indiqué sur la carte VAC. Il s’agit de LFMN. L’OACI est un organisme chargé d’établir le cadre réglementaire de la sécurité de l’aviation civile :	uniquement au niveau de la France	sous la responsabilité du ministère des transports	au niveau mondial	en Europe uniquement	2	4.1.		True
VSlZwkew	2020	4.7	66	Après la visite de la tour de contrôle, on vous équipe d’un gilet jaune pour vous permettre de vous rendre sur les parkings, vous assistez au chargement des bagages dans un A319, le pilote vient à votre rencontre, il vient de terminer sa visite pré-vol :	Après la visite de la tour de contrôle, on vous équipe d’un gilet jaune pour vous permettre de vous rendre sur les parkings. Vous assistez au chargement des bagages dans un A319. Le pilote vient à votre rencontre. Il vient de terminer sa visite pré-vol,	normal, nous sommes le lundi et cette visite doit s’effectuer tous les lundis	comme pour tout aéronef, petit ou grand, cette visite est obligatoire avant chaque vol	pour les avions de ligne, cette visite peut également être réalisée par les stewards	cette visite n’est pas systématique mais le pilote a voulu vous faire plaisir en la réalisant devant votre classe	1	4.1.		True
sVUG2z3z	2020	4.8	67	Le pilote vous explique ensuite que son vol est à destination de l’aéroport de LESQUIN, soit une distance mesurée de 83 cm sur une carte aéronautique au 1/1 000 000, la distance réelle entre NICE et LESQUIN est donc de :		83 km	83 Nm	830 km	830 Nm	2			
DdZUuOML	2020	4.9	68	Votre vol VFR vous amène à traverser une TMA de classe D :		c’est une zone non contrôlée	c’est une zone contrôlée qui nécessite une clairance	c’est une zone contrôlée qui ne nécessite jamais de clairance	c’est une zone interdite au vol VFR	1			
yrY4loYf	2020	4.10	69	La route géographique ou route vraie sur la première branches est de 330°, la déclinaison magnétique est de 2°E, votre route magnétique est de :		330°	328°	332°	32°	1			
jJLaQn32	2020	4.11	70	Sur la branche suivante, vous devez suivre une route magnétique au 350°, votre avion a une vitesse propre de 120 kt, le vent vient du 020° pour 20kt. Pour rester sur votre route, vous devez suivre un cap magnétique de :	Vous devez suivre une route magnétique au 350°. Votre avion a une vitesse propre de 120 kt. Le vent vient du 020° pour 20 kt. Pour rester sur votre route, vous devez suivre un cap magnétique de :	330°	345°	350°	355°	3	4.3.		True
jNys9m2y	2020	4.12	71	Des nuages vous obligent à descendre à 3000 ft QNH, le relief sur votre route est de 2700 ft :		vous continuez, votre altitude est suffisante pour passer	vous montez dans les nuages le temps de passer le relief en toute sécurité	vous contournez pour respecter une hauteur de survol de 1000 ft minimum imposé par la réglementation	vous contournez pour respecter une hauteur de survol de 500 ft minimum imposé par la réglementation	3	4.1.		True
otnirKQy	2020	4.13	72	Le transpondeur qui équipe votre avion permet :		d’identifier et de suivre un vol à l’aide d’un radar au sol	d’effectuer un vol sans visibilité	la pratique du VFR en haute altitude	de recevoir des informations météo en vol (VOLMET)	0	4.1.		True
LaMIGYm9	2020	4.14	73	L’augmentation d’altitude peut entraîner un risque d'hypoxie, c’est :		une absorption d'oxygène pure en trop grande quantité entraînant des malaises	un manque de pression de l'oxygène absorbé entraînant des altérations de la mémoire, du jugement et de l'attention	un manque de sucre dans le sang entraînant des malaises	une baisse de tension	1	4.2.		True
Wo0qjwlI	2020	4.15	74	En arrivant au sud de Lyon vous constatez qu’il y a sur votre route une zone notée P18, c’est une zone :		dangereuse	interdite	réglementée	sans objet pour les vols VFR	1	4.1.		True
BbbS2vlM	2020	4.16	75	Vous décidez de terminer votre navigation en cheminement, c’est une méthode qui consiste à suivre :		des repères caractéristiques au sol	les chemins	les indications GPS	la direction indiquée par le VOR	0			
oLSjJBJf	2020	4.17	76	Votre aéronef vole à la vitesse de 120 kt, vous êtes à 12 Nm du terrain d’arrivée. Vous estimez votre arrivée dans :		30 minutes	11 minutes	6 minutes	4 minutes	2	4.3.		True
Sp6ey90L	2020	4.18	77	A l’arrivée à Lyon Bron vous constatez un vent du nord de 15 kt, la piste étant orientée 16-34, l’atterrissage se fera :		piste 34	piste 16	sur la piste préférentielle indiquée sur la carte	sur un autre terrain	0	4.3.		True
TGGJaxjI	2020	4.19	78	Le vol VFR est :		un vol effectué dans des conditions de vol à vue	un vol effectué dans des conditions de vol aux instruments	un vol de type commercial	un vol limité aux tours de piste	0	4.1.		True
N2FJ93SD	2020	4.20	79	Sur une carte au 1/500 000, une distance mesurée de 10 cm correspond à une distance réelle de :		50 km	5 km	15 km	150 km	0			
SsG3ypkB	2020	5.1	80	"On attribue aux chinois l'invention d'un engin volant ""plus lourd que l'air"" qui est :"		la lanterne céleste	le cerf-volant	le ballon dirigeable	le ballon à gaz	1			
REkHU4vu	2020	5.2	81	Léonard de Vinci a envisagé un modèle de parachute :		composé d'une voilure tournante en plumes d'oiseau	en forme de « tente » à faces rectangulaires ou triangulaires	comportant quatre vis d’Archimède	de forme hémisphérique	1			
yyrB4f47	2020	5.3	82	La première ascension en ballon gonflé à l'air chaud en 1783 est effectuée par :		Clément Ader	Charles Lindbergh	Pilâtre de Rozier et le marquis d'Arlandes	Gaston Tissandier	2	5.		True
bmiFHEpL	2020	5.4	83	A la fin du XIXème siècle, le pionnier du vol plané qui est à l'origine de nombreuses expériences en situation réelle est :		Orville Wright	Wilbur Wright	Louis Blériot	Otto Lilienthal	3	5.		True
kYQGPx82	2020	5.5	84	En 1901 Santos-Dumont effectue une démonstration de navigation aérienne. Son exploit consiste à :		contourner la tour Eiffel en ballon dirigeable	faire le tour de Paris avec un ballon à air chaud	parcourir une distance de 10 km contre le vent en ballon dirigeable	rejoindre son aire d'envol après un vol de 24 heures en ballon à gaz	0	5.		True
L2J5MoKh	2020	5.6	85	En 1910, Henri Fabre est le premier à décoller à bord d'un :		bimoteur	hydravion	planeur	autogire	1			
evHR63A8	2020	5.7	86	Il y a 100 ans, en 1920, toute jeune brevetée, René Caudron l’engage et en fait la première femme pilote d’essai. Elle passe à la postérité pour avoir vaincu la Cordillière des Andes un an plus tard. Elle s’appelait :	Il y a 100, en 1920, toute jeune brevetée, René Caudron l’engage et en fait la première femme pilote d’essai. Elle passe à la postérité pour avoir vaincu la Cordillère des Andes un an plus tard. Elle s’appelait :	Hélène Boucher	Maryse Hilsz	Adrienne Bolland	Jacqueline Auriol	2	5.		True
tQ7hhPDA	2020	5.8	87	En 1907, Paul Cornu décolle avec un engin de son invention, est-ce un :		autogire	dirigeable	hélicoptère	hydroptère	2	5.		True
LRXGFTFp	2020	5.9	88	Le meilleur avion de chasse de la Première Guerre mondiale fut le :		Caudron G3	Spitfire	Spad 13	Blériot XI	2			
dwh8QvK5	2020	5.10	89	L’autogire a été inventé par un jeune ingénieur, c’était :		Louis Bréguet	Juan de la Cierva	Ernst Heinkel	Serge Dassault	1	5.		True
vbCg4TSX	2020	5.11	90	Un peu avant la Première Guerre mondiale, l'ingénieur Raoul Badin se rend célèbre par une innovation concernant :		un instrument de bord destiné à mesurer la vitesse de l’aéronef par rapport à l’air dans lequel il évolue	le tir à travers l'hélice sans heurter les pales	la disposition en étoile des cylindres d'un moteur	le siège éjectable	0			
nY5eIgwQ	2020	5.12	91	Le pilote de chasse qui détient le plus grand nombre de victoires confirmées en 1914-1918 s’appelle :		Pierre Clostermann	René Fonck	Georges Guynemer	Manfred von Richtoffen	3	5.		True
8qsToTf7	2020	5.13	92	Le constructeur français impliqué dans la création de l'Aéropostale pour établir une ligne aérienne entre la France et l'Amérique du sud s'appelait :		Louis Blériot	Marcel Dassault	Pierre-Georges Latécoère	Claude Dornier	2	5.		True
kSpmH01X	2020	5.14	93	Dans les années 1930 en France, un plan d'eau a servi de base aux hydravions pour les traversées de l'Atlantique, devenant ainsi un aéroport international, c'est :		le lac de Biscarosse	le lac du Bourget	l'étang de Berre	'étang de Thau	0	5.		True
kCutYS3I	2020	5.15	94	L'Aéropostale fut à l'origine de la création d'une grande compagnie aérienne en 1933, elle s’appelait :		Air Inter	Air France	Air Atlantique	Air Littoral	1	5.		True
UMMXEMwm	2020	5.16	95	Amelia Earhart, pilote américaine, reste célèbre pour avoir été la première femme seule aux commandes de son avion à :		franchir la Cordillère des Andes	traverser la mer Méditerranée	survoler le Pôle Nord	traverser l'océan Atlantique	3			
n98r4g1O	2020	5.17	96	Entre les deux guerres mondiales, le régime nazi fait voler sur tous les continents un aéronef à des fins de propagande. Il s'agit d'un :		chasseur Messerschmitt bf-109	dirigeable type Zeppelin	ballon de 25000 m3 gonflé à l'hélium	avion sans pilote appelé V1	1	5.		True
6ERYSxhe	2020	5.18	97	Lors de la Seconde Guerre mondiale, un chasseur à réaction est pour la première fois engagé en combat aérien. Il s'agit du :		Junker Ju 88	Focke-Wulf FW-190	Messerschmitt Me-262	Dornier Do 335	2	5.		True
jRRMHu6N	2020	5.19	98	À l'issue de la Seconde Guerre mondiale, les Américains ont employé des ingénieurs allemands ayant conçu le missile balistique V2 afin de mener à bien leur programme spatial. C'est le cas de :		Wernher von Braun	Willy Messerschmitt	Helmut Gröttrup	Robert Lusser	0	5.		True
xVUJ2Ydu	2020	5.20	99	Le premier homme qui effectua une orbite complète dans l’espace en 1961 fut :		l'américain Neil Armstrong (programme Apollo)	l'américain Alan Shepard (programme Mercury)	le Soviétique Youri Gagarine (programme Vostok)	l'américain John Glenn (programme Mercury)	2	5.		True
lwobMTYd	2020	F.1	100	Dans un message météo, que signifie le terme CAVOK ?		Ceiling And Visibility OK	Clear And Visibility OK	Control And View OK	Cockpit And Vision OK	0			
U9IILGeP	2020	F.2	101	En anglais, la poussée d'un réacteur se dit :		lift	drag	thrust	pull	2			
2nbMG2x8	2020	F.3	102	When I turn the control wheel to the left :		the left flap moves down	the nose wheel turns to the left	the left aileron moves up	the vertical tail turns to the left	2	6.		True
yHMeBeQV	2020	F.4	103	Traduire en français : « Fox Victor Bravo, line up, cleared for take-off runway 31 left. »		Fox Victor Bravo, alignez-vous, temps clair pour le décollage, piste 31 gauche	Fox Victor Bravo, alignez-vous, autorisé à l'atterrissage, piste 31 gauche	Fox Victor Bravo, alignez-vous, autorisé au décollage, piste 31 droite	Fox Victor Bravo, alignez-vous, autorisé au décollage, piste 31 gauche	3	6.		True
D1Fi9iXy	2020	F.5	104	Les aérofreins sont appelés :		airflow controls	airspeed controls	airdrag system	speedbrakes	3			
0lVX75F1	2020	F.6	105	Le terme anglais employé pour désigner les dispositifs destructeurs de portance est :		flaps	spoilers	portance destroy system	air breaks	1			
KDDO7xmw	2020	F.7	106	En anglais, pour demander la priorité à l’atterrissage, il faut dire :		we request landing quickly	we request landing priority	we request to land in first	we request emergency procedure	1			
6NggmstG	2020	F.8	107	Le terme anglais « Maximum Take Off Weight » signifie :		masse maximale à vide de l'aéronef	masse maximale au décollage de l'aéronef	masse maximale utile de l'aéronef	masse marchande maximale de l'aéronef	1			
SEIyhRuG	2020	F.9	108	"En anglais, l'expression ""prêt au décollage, piste 12"" se dit :"		stand by to take off runway one two	holding short take off runway twelve	ready for take off runway one two	clear for take off runway twelve	2			
d9MLvAMk	2020	F.10	109	"Il est fréquent que lors d'échanges avec les organismes de contrôle aérien, les membres d'équipage répondent ""wilco"", ceci signifie :"		merci de changer de fréquence	votre message a été compris et sera exécuté	nous allons nous diriger vers le point de report WILCO (qui existe sur tous les aéroports internationaux)	merci de répéter votre message	1	6.		True
uiIZHJHI	2020	F.11	110	L'expression « leading edge » signifie :		saumon d'extrémité d'aile	bord d'attaque d'une aile	bord de fuite d'une aile	carénage d'emplanture d'une aile	1	6.		True
2aIIoP9I	2020	F.12	111	Le terme « constant speed propeller » signifie :		une autorisation donnée par le contrôle aérien d'effectuer une montée à vitesse constante	un turboréacteur à vitesse de rotation fixe	une hélice à vitesse constante	un dispositif permettant de conserver une même vitesse de vol en palier horizontal, en montée ou en descente	2			
JGCjLJ58	2020	F.13	112	Le « vent de face » se dit :		headwind	gust	thrust	windshield	0	6.		True
YFgdsXaP	2020	F.14	113	En anglais, les commandes de vol se nomment :		the plane command	the flying setup	the flight controls	wings and tail controls	2	6.		True
BuNKEoCH	2020	F.15	114	Le signe VFR signifie :		Very Famous Runway	Visual Flight Rules	Visual Flight Runway	Vertical Flight Radian	1			
Dv2P6xrZ	2020	F.16	115	Le terme anglais qui désigne la manche à air est :		wind pipe	windsock	wind handle	air sock	1			
mGBjt035	2020	F.17	116	The aircraft which lands only on water is :		a seaplane	a floating plane	an amphibious aircraft	a water plane	0	6.		True
E2fcgL11	2020	F.18	117	Traduire en français : « the gear position light has turned green »		le phare de train d'atterrissage fonctionne	le feu de navigation droit est vert	le voyant de position du train est passé au vert	le voyant de boîte de transmission est au vert	2	6.		True
EU03rpbj	2020	F.19	118	Le sigle ILS signifie :		Intelligent Landing Safer	Instrument Landing System	Information Leading Service	Increase Leading System	1			
QTGYUv7Q	2020	F.20	119	Traduire en anglais : « bougies d'allumage du moteur »		engine candles of ignition	motor fan sparking plugs	ignition motor candles	engine spark plugs	3			
gujzMtdK	2021	1.1	0	La zone 1 sur la carte en illustration correspond à :		un anticyclone	un col	un profond thalweg	une dépression	1	3.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FPOOFy1GBkTArPPFvoU2Y?alt=media&token=0332b10a-3b6a-44b8-9f9d-58b3f7eafcc6	True
bBE0fK4L	2021	1.2	1	Dans le secteur de la zone 2 sur la carte en illustration on peut dire que :		le gradient horizontal de pression est faible	les vents sont du Nord-Est	les vents sont du Sud-Ouest modérés à forts	les nuages sont absents	2	3.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FiX87lkGSRlY56qd4CEMg?alt=media&token=5606502c-f338-4597-8fce-3ed1741c2268	True
1q3YnlSw	2021	1.3	2	Le secteur de la zone 3 sur la carte en illustration correspond à :		une traîne de Sud-Ouest	les vents viennent du Nord-Est	un secteur chaud	un secteur occlus	2	3.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FrYfHKBnp13fol71zeQa6?alt=media&token=ef01fde3-a66c-461a-a141-55cf77158f86	True
f9r1aiJ0	2021	1.4	3	On peut dire que la zone 4 est :		très certainement nuageuse	une zone de vent fort	une dorsale	l’anticyclone des Açores	3	3.2.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FqfemdzJM6SFCYVaYTKDN?alt=media&token=d84c64e1-39fb-4204-9069-e6629030a0d6	True
vtiQejUc	2021	1.5	4	Sur une carte de pression, une ligne qui joint les points d’égale pression est nommée :		une isotherme	une isocline	une isophyse	une isobare	3	3.1.		True
rG5fVLQA	2021	1.6	5	Dans un message aéronautique, le groupe de température indique +12°C sous abri, et +4°C de point de rosée. On peut dire que :		la masse d’air est à 100% d’humidité	la température maximale sera de +12 °C et la minimale de +4 °C	la masse d’air serait saturée pour une température sous-abri de +4 °C	la masse d’air serait saturée pour une température sous-abri de +8 °C	2	3.3.		True
9IPSyfnV	2021	1.7	6	Une information sur une carte stipule l’ISO 0°C au FL80. Vous devez voler au FL60. En considérant le gradient standard, quelle est la bonne affirmation :		le vol se fera en conditions à +4 °C	le vol se fera en conditions à -4 °C	le vol se fera en conditions à -2 °C	le vol se fera en conditions à +2 °C	0	3.1.		True
ETnxyAZc	2021	1.8	7	Concernant la pression atmosphérique :		elle est à l’origine du vent dans l’Atmosphère Standard Internationale	elle varie plus rapidement en altitude que proche de la surface	la valeur est de 1013 hPa partout sur la planète	elle diminue rapidement avec l’altitude dans les basses couches de l’atmosphère	3	3.1.		True
PFqvcR2o	2021	1.9	8	Un altimètre :		affiche la vitesse d’un aéronef	affiche la vitesse ascensionnelle d’un aéronef	est un baromètre qui transforme la pression en altitude	indique la hauteur par rapport à Paris	2	3.1.		True
2PxLusTc	2021	1.10	9	Pour un anticyclone dans l’hémisphère Sud, les vents s’organisent autour de lui de telle sorte :		qu’ils tournent en sens inverse des aiguilles d’une montre	qu’ils soufflent de façon concentrique vers le centre de l’anticyclone	qu’ils tournent dans le sens des aiguilles d’une montre	qu’ils se dirigent vers le pôle Sud	0	3.1.		True
GQdu0YUy	2021	1.11	10	Une traine :		est la partie sous le vent d’un cumulonimbus	correspond à une précipitation qui n’atteint pas le sol	est le nom donné aux perturbations qui avancent lentement	est une zone de bonne visibilité entrecoupée d’averses à l’arrière d’un front froid	3	3.2.		True
YToaGCQb	2021	1.12	11	Le nuage figurant sur la photo ci-dessous est un :		cumulonimbus	cumulus	stratus	altocumulus	1		https://annales-bia.fr/images/m2-2021.gif	
lYKTKCtY	2021	1.13	12	Lorsque des cumulus sont annoncés, cela indique au pilote que :		des orages sont systématiquement à prévoir	des précipitations continues sont probables	la masse d’air est instable	la surface frontale est proche	2			
mCQXWwcV	2021	1.14	13	Des nuages lenticulaires dans le ciel sont le signe :		d’une forte instabilité	de brouillard la nuit suivante	d’une masse d’air assez sèche	d’un vent fort perpendiculaire à un relief	3	3.3.		True
gq7OooTJ	2021	1.15	14	Parmi ces listes de nuages, quelle est celle qui ne contient que des nuages instables :		cumulus, cirrostratus, stratocumulus	altostratus, cirrostratus, cumulonimbus	stratus, altocumulus, cirrus	altocumulus, cumulonimbus, cirrocumulus	3	3.3.		True
psHJQbYw	2021	1.16	15	La formation la plus commune du brouillard est due :		au réchauffement nocturne de la masse d’air et sa condensation	au rayonnement nocturne du sol et à la condensation de la vapeur d’eau	à la marée barométrique qui détend l’atmosphère	à la convection de fin de nuit qui déclenche une condensation adiabatique	1	3.3.		True
QewM1ebh	2021	1.17	16	Lorsque le vent est fort au sol :		il y a peu de turbulences dans les basses couches de l’atmosphère	le ciel va systématiquement se dégager	il est nul en altitude	des turbulences dues aux imperfections du sol et aux obstacles se développent en basses couches	3			
Nk3HG9Cq	2021	1.18	17	Des mouvements aléatoires de petite échelle qui perturbent un flux d’air bien établi sont appelés :		des cyclones	du cisaillement et de la turbulence	des ascendances	des mouvements laminaires	1			
Tsot2GhJ	2021	1.19	18	Dans l’atmosphère, parmi les propositions ci-dessous, quelle est la plus faible température à laquelle on peut encore trouver de l’eau à l’état liquide :		-10 °C	0 °C	10 °C	100 °C	0	3.1.		True
1vPXYJOU	2021	1.20	19	La cellule d’un avion peut givrer :		en vol mais pas au sol	dans les nuages uniquement	dans les nuages, et hors nuages	dans un nuage composé exclusivement de cristaux de glace	2	3.5.		True
rTyH5p0a	2021	1.21	20	Les courants de vent puissants que l’on rencontre à très haute altitude sont nommés :		jet-stream	jet-lag	tornade	rafale	0			
cJ5j1WL5	2021	1.22	21	En plaine, dans les basses couches de l’atmosphère, des turbulences peuvent être générées par :		le rayonnement	les trous d’air	la convection	le brouillard	2	3.5.		True
OdMhrLkF	2021	2.1	22	L’incidence est :		l’angle entre l’horizontale et l’axe de l’avion	la distance maximale entre le bord d’attaque et le bord de fuite	la distance entre deux nervures d’aile	l’angle entre le vent relatif et la corde de l’aile	3	2.1.		True
2QfyYa7K	2021	2.2	23	Pour calculer la distance de décollage d’un avion, il faut prendre en compte :		la masse de l’avion uniquement	la température, l’altitude de l’aéroport, la masse de l’avion	l'altitude de l’aéroport uniquement	aucun de ces éléments	1	2.1.		True
BHiSetus	2021	2.3	24	Sur la polaire ci-dessous ont été définis plusieurs points. Quel est le point correspondant à la finesse maximale ?		A	B	C	D	2	2.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2F9Qzj6T65c6Uag2gCnydT?alt=media&token=6e8b2dee-8098-44c2-ab6d-eca09ff34618	False
FOCHWRxJ	2021	2.4	25	Le braquage des volets hypersustentateurs de bord de fuite :		augmente les coefficients Cz de portance et Cx de traînée	augmente le coefficient Cz de portance et diminue le coefficient Cx de traînée	diminue le coefficient Cz de portance et augmente le coefficient Cx de traînée	diminue les coefficients Cz de portance et Cx de traînée	0	2.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FTrmVGePodJCb0FhSnqmO?alt=media&token=fc9c0a2f-98ef-4757-a793-cd0403061f60	True
HAcYVmba	2021	2.5	26	La traînée induite d’une aile :		diminue quand la portance augmente	est une conséquence des différences de pression entre l’intrados et l’extrados	augmente avec l’allongement	est la conséquence de moucherons collés sur le bord d’attaque	1	2.1.		True
RIBEEbem	2021	2.6	27	La variation de l’assiette s’effectue autour de l’axe de :		roulis	tangage	lacet	piste	1	2.2.		True
jKVTejfd	2021	2.7	28	Parmi les éléments suivants, celui qui a une influence sur la position du centre de gravité est :		la trajectoire (palier, montée, descente)	la vitesse	le niveau de carburant dans les réservoirs	l’inclinaison	2			
VLPYlDUw	2021	2.8	29	Pour tourner selon l’axe de tangage, je dois :		actionner le manche vers l’avant ou vers l’arrière	actionner le manche vers la gauche ou vers la droite	utiliser les palonniers	changer le pas d’hélice	0	2.2.		True
e3p3oiw4	2021	2.9	30	Le décrochage pour un profil d’aile précis arrive :		toujours à la même vitesse	toujours à la même incidence	toujours à la même pente	toujours à la même assiette	1			
ZVHPui8N	2021	2.10	31	Un avion en virage subit 2 g. Quel est son angle d’inclinaison ?		40°	50°	60°	80°	2			
QOJ4MXLt	2021	2.11	32	Pour réaliser une mise en virage, on incline l’appareil en roulis. Il apparaît alors une rotation en lacet dans le sens opposé au sens du virage désiré. Ceci est dû :		au lacet induit	au lacet inverse	au roulis inverse	au roulis induit	1	2.2.		True
Hz7WDVez	2021	2.12	33	Comment le pilote peut-il corriger ce phénomène (2.11) ?	Comment le pilote peut-il corriger le phénomène de lacet inverse ?	par une action sur le palonnier	par une action à cabrer sur le manche	par une action à piquer sur le manche	en laissant faire	0	2.2.		True
vQIwB6ha	2021	2.13	34	En descente rectiligne uniforme sans traction :		la portance et le poids sont directement opposés	la traînée et le poids sont directement opposés	la composante du poids parallèle à la trajectoire s’oppose à la traînée pour l’équilibrer	la composante du poids perpendiculaire à la trajectoire s’oppose à la traînée pour l’équilibrer	2	2.2.		True
tYBF0xST	2021	2.14	35	Pour réduire la trainée induite, on peut :		diminuer l’allongement	ajouter des becs de bord d’attaque	ajouter des aérofreins	ajouter des winglets	3	2.1.		True
Rc6ohB0j	2021	2.15	36	Un parachutiste en chute libre :		ira de plus en plus vite quelle que soit sa position pendant toute la durée de la chute libre	atteindra une vitesse limite très tôt s’il est en position verticale	atteindra une vitesse limite très tôt s’il est en position horizontale (à plat ventre)	verra sa vitesse augmenter puis diminuer quelle que soit sa position	2	2.3.		True
dDiLoiPi	2021	2.16	37	Une montgolfière se maintient à altitude constante. On peut alors affirmer que :		son poids est supérieur à sa poussée d'Archimède	son poids est égal à sa poussée d'Archimède	son poids est inférieur à sa poussée d'Archimède	la force de trainée est égale au poids	1	2.3.		True
5cfdoegr	2021	2.17	38	Le profil d’une aile est lisse lorsque :		le bec et les volets sont rentrés	le bec est rentré et les volets sont sortis	le bec est sorti et les volets sont rentrés	le bec et les volets sont sortis	0	2.1.		True
Uk51z3jd	2021	2.18	39	On multiplie par 3 la vitesse de l’écoulement et on divise par 9 la surface d’une aile. La portance est :		multipliée par 9	multipliée par 3	inchangée	multipliée par 81	2	2.1.		True
wEgB4DdN	2021	2.19	40	En air calme, quelle est la distance horizontale qu’il est possible de parcourir avec une finesse de 30 si la hauteur est de 3 km :		90 m	90 000 m	900 m	90 000 km	1	2.2.		True
